age	pop_male	pop_female	death_male	death_female	group
15	78862	93012	518	496	1
20	89623	116327	817	753	2
25	83020	100155	815	865	2
30	79021	92194	897	881	3
35	57602	63747	959	901	3
40	59378	66221	1044	802	4
45	38108	41633	1005	822	4
50	37402	43153	1051	870	5
55	19869	22075	924	815	5
60	21886	27033	1152	1068	6
65	10950	13987	881	998	6
70	9062	12664	904	1028	7
75	3815	5864	663	973	7
80	1830	3240	332	595	8
85	540	1081	180	337	8
90	152	322	51	108	8
95	43	76	15	31	8
100	6	16	3	6	8
