age_from	classwidth	region	zensus	sex	pop
85	5	Tarn	1856	female	340
85	5	Tarn-et-Garonne	1856	male	225
85	5	Tarn-et-Garonne	1856	female	244
90	5	Ariège	1856	male	48
90	5	Ariège	1856	female	27
90	5	Haute-Garonne	1856	male	105
90	5	Haute-Garonne	1856	female	42
90	5	Tarn	1856	male	105
90	5	Tarn	1856	female	42
90	5	Tarn-et-Garonne	1856	male	57
90	5	Tarn-et-Garonne	1856	female	63
95	5	Ariège	1856	male	7
95	5	Ariège	1856	female	15
95	5	Haute-Garonne	1856	male	14
95	5	Haute-Garonne	1856	female	10
95	5	Tarn	1856	male	14
95	5	Tarn	1856	female	10
95	5	Tarn-et-Garonne	1856	male	17
95	5	Tarn-et-Garonne	1856	female	19
100	5	Ariège	1856	male	0
100	5	Ariège	1856	female	1
100	5	Haute-Garonne	1856	male	0
100	5	Haute-Garonne	1856	female	1
100	5	Tarn	1856	male	0
100	5	Tarn	1856	female	1
100	5	Tarn-et-Garonne	1856	male	0
100	5	Tarn-et-Garonne	1856	female	2
0	5	Ariège	1876	male	13347
0	5	Ariège	1876	female	12421
0	5	Haute-Garonne	1876	male	16705
0	5	Haute-Garonne	1876	female	17238
0	5	Tarn	1876	male	17213
0	5	Tarn	1876	female	15812
0	5	Tarn-et-Garonne	1876	male	8161
0	5	Tarn-et-Garonne	1876	female	8245
5	5	Ariège	1876	male	11787
5	5	Ariège	1876	female	11056
5	5	Haute-Garonne	1876	male	17102
5	5	Haute-Garonne	1876	female	17301
5	5	Tarn	1876	male	15903
5	5	Tarn	1876	female	15519
5	5	Tarn-et-Garonne	1876	male	8173
5	5	Tarn-et-Garonne	1876	female	8171
10	5	Ariège	1876	male	11861
10	5	Ariège	1876	female	10689
10	5	Haute-Garonne	1876	male	16636
10	5	Haute-Garonne	1876	female	17210
10	5	Tarn	1876	male	15726
10	5	Tarn	1876	female	13612
10	5	Tarn-et-Garonne	1876	male	8401
10	5	Tarn-et-Garonne	1876	female	8396
15	5	Ariège	1876	male	12256
15	5	Ariège	1876	female	10153
15	5	Haute-Garonne	1876	male	17733
15	5	Haute-Garonne	1876	female	17873
15	5	Tarn	1876	male	14417
15	5	Tarn	1876	female	13737
15	5	Tarn-et-Garonne	1876	male	7808
15	5	Tarn-et-Garonne	1876	female	8328
20	5	Ariège	1876	male	7547
20	5	Ariège	1876	female	9033
20	5	Haute-Garonne	1876	male	23358
20	5	Haute-Garonne	1876	female	NA
20	5	Tarn	1876	male	15558
20	5	Tarn	1876	female	15835
20	5	Tarn-et-Garonne	1876	male	8705
20	5	Tarn-et-Garonne	1876	female	8155
25	5	Ariège	1876	male	7963
25	5	Ariège	1876	female	7745
25	5	Haute-Garonne	1876	male	18010
25	5	Haute-Garonne	1876	female	14985
25	5	Tarn	1876	male	10080
25	5	Tarn	1876	female	12752
25	5	Tarn-et-Garonne	1876	male	7411
25	5	Tarn-et-Garonne	1876	female	7205
30	5	Ariège	1876	male	7841
30	5	Ariège	1876	female	8777
30	5	Haute-Garonne	1876	male	23022
30	5	Haute-Garonne	1876	female	17928
30	5	Tarn	1876	male	11009
30	5	Tarn	1876	female	12285
30	5	Tarn-et-Garonne	1876	male	7582
30	5	Tarn-et-Garonne	1876	female	7600
35	5	Ariège	1876	male	7664
35	5	Ariège	1876	female	8434
35	5	Haute-Garonne	1876	male	21933
35	5	Haute-Garonne	1876	female	16983
35	5	Tarn	1876	male	13293
35	5	Tarn	1876	female	12133
35	5	Tarn-et-Garonne	1876	male	7520
35	5	Tarn-et-Garonne	1876	female	7594
40	5	Ariège	1876	male	7853
40	5	Ariège	1876	female	8064
40	5	Haute-Garonne	1876	male	18628
40	5	Haute-Garonne	1876	female	17035
40	5	Tarn	1876	male	12098
40	5	Tarn	1876	female	11397
40	5	Tarn-et-Garonne	1876	male	7296
40	5	Tarn-et-Garonne	1876	female	7232
45	5	Ariège	1876	male	7218
45	5	Ariège	1876	female	7561
45	5	Haute-Garonne	1876	male	16438
45	5	Haute-Garonne	1876	female	14831
45	5	Tarn	1876	male	11268
45	5	Tarn	1876	female	10877
45	5	Tarn-et-Garonne	1876	male	7302
45	5	Tarn-et-Garonne	1876	female	7639
50	5	Ariège	1876	male	6696
50	5	Ariège	1876	female	6693
50	5	Haute-Garonne	1876	male	11137
50	5	Haute-Garonne	1876	female	13486
50	5	Tarn	1876	male	9321
50	5	Tarn	1876	female	10066
50	5	Tarn-et-Garonne	1876	male	6847
50	5	Tarn-et-Garonne	1876	female	7011
55	5	Ariège	1876	male	5926
55	5	Ariège	1876	female	5977
55	5	Haute-Garonne	1876	male	10549
55	5	Haute-Garonne	1876	female	11069
55	5	Tarn	1876	male	9740
55	5	Tarn	1876	female	10146
55	5	Tarn-et-Garonne	1876	male	6244
55	5	Tarn-et-Garonne	1876	female	6305
60	5	Ariège	1876	male	5618
60	5	Ariège	1876	female	5462
60	5	Haute-Garonne	1876	male	9240
60	5	Haute-Garonne	1876	female	9997
60	5	Tarn	1876	male	9324
60	5	Tarn	1876	female	8197
60	5	Tarn-et-Garonne	1876	male	6099
60	5	Tarn-et-Garonne	1876	female	6031
65	5	Ariège	1876	male	4304
65	5	Ariège	1876	female	4224
65	5	Haute-Garonne	1876	male	6039
65	5	Haute-Garonne	1876	female	7240
65	5	Tarn	1876	male	6526
65	5	Tarn	1876	female	6794
65	5	Tarn-et-Garonne	1876	male	4931
65	5	Tarn-et-Garonne	1876	female	5844
70	5	Ariège	1876	male	3256
70	5	Ariège	1876	female	2937
70	5	Haute-Garonne	1876	male	4082
70	5	Haute-Garonne	1876	female	5069
70	5	Tarn	1876	male	5325
70	5	Tarn	1876	female	4450
70	5	Tarn-et-Garonne	1876	male	3495
70	5	Tarn-et-Garonne	1876	female	4041
75	5	Ariège	1876	male	2201
75	5	Ariège	1876	female	1703
75	5	Haute-Garonne	1876	male	2600
75	5	Haute-Garonne	1876	female	3538
75	5	Tarn	1876	male	2238
75	5	Tarn	1876	female	2686
75	5	Tarn-et-Garonne	1876	male	2468
75	5	Tarn-et-Garonne	1876	female	2556
80	5	Ariège	1876	male	847
80	5	Ariège	1876	female	739
80	5	Haute-Garonne	1876	male	1270
80	5	Haute-Garonne	1876	female	2306
80	5	Tarn	1876	male	945
80	5	Tarn	1876	female	1320
80	5	Tarn-et-Garonne	1876	male	1101
80	5	Tarn-et-Garonne	1876	female	878
85	5	Ariège	1876	male	204
85	5	Ariège	1876	female	177
85	5	Haute-Garonne	1876	male	341
85	5	Haute-Garonne	1876	female	715
85	5	Tarn	1876	male	353
85	5	Tarn	1876	female	562
85	5	Tarn-et-Garonne	1876	male	188
85	5	Tarn-et-Garonne	1876	female	208
90	5	Ariège	1876	male	52
90	5	Ariège	1876	female	71
90	5	Haute-Garonne	1876	male	105
90	5	Haute-Garonne	1876	female	364
90	5	Tarn	1876	male	64
90	5	Tarn	1876	female	90
90	5	Tarn-et-Garonne	1876	male	32
90	5	Tarn-et-Garonne	1876	female	40
95	5	Ariège	1876	male	10
95	5	Ariège	1876	female	12
95	5	Haute-Garonne	1876	male	49
95	5	Haute-Garonne	1876	female	162
95	5	Tarn	1876	male	12
95	5	Tarn	1876	female	27
95	5	Tarn-et-Garonne	1876	male	18
95	5	Tarn-et-Garonne	1876	female	14
100	5	Ariège	1876	male	1
100	5	Ariège	1876	female	3
100	5	Haute-Garonne	1876	male	1
100	5	Haute-Garonne	1876	female	16
100	5	Tarn	1876	male	1
100	5	Tarn	1876	female	3
100	5	Tarn-et-Garonne	1876	male	0
100	5	Tarn-et-Garonne	1876	female	0
